pitcher_name,pitcher_lefty,fastball_rate,sinker_rate,slider_rate,changeup_rate,knuckle_curve_rate,curveball_rate,cutter_rate,splitter_rate,other_rate
Jacob deGrom,False,0.474468085106383,0.0,0.3925531914893617,0.0819148936170212,0.0,0.051063829787234,0.0,0.0,0.0
Jaime Barria,False,0.2128227960819234,0.1798753339269813,0.4701691896705254,0.1371326803205699,0.0,0.0,0.0,0.0,0.0
Jake Bird,False,0.0,0.5695364238410596,0.0,0.0198675496688741,0.0,0.1496688741721854,0.247682119205298,0.0,0.0132450331125827
Jake Brentz,True,0.5928571428571429,0.05,0.3214285714285714,0.0357142857142857,0.0,0.0,0.0,0.0,0.0
Jake Cousins,False,0.0,0.4243542435424354,0.5535055350553506,0.007380073800738,0.0,0.0,0.0,0.0,0.014760147601476
Jake Diekman,True,0.4410517387616624,0.1942324003392705,0.3486005089058524,0.010178117048346,0.0,0.0,0.0,0.0,0.0059372349448685
Jake Fishman,True,0.0,0.6023391812865497,0.3976608187134502,0.0,0.0,0.0,0.0,0.0,0.0
Jake McGee,True,0.8230647709320695,0.0,0.1706161137440758,0.0,0.0,0.0,0.0,0.0,0.0063191153238546
Jake Odorizzi,False,0.5113952195664258,0.0,0.0728182323513062,0.0,0.0,0.0383546414674819,0.2106725958866036,0.1662034463590883,0.0005558643690939
Jake Reed,False,0.0684039087947882,0.4690553745928338,0.4397394136807817,0.022801302931596,0.0,0.0,0.0,0.0,0.0
Jake Woodford,False,0.2125534950071326,0.3794579172610556,0.2810271041369472,0.0370898716119828,0.0,0.0841654778887303,0.0,0.0,0.0057061340941512
Jakob Junis,False,0.0050055617352614,0.3203559510567297,0.5038932146829811,0.1601779755283648,0.0,0.0,0.0105672969966629,0.0,0.0
Jalen Beeks,True,0.4840698869475848,0.0,0.013360739979445,0.4902363823227132,0.0,0.0,0.0123329907502569,0.0,0.0
James Kaprielian,False,0.4896860986547085,0.0547085201793721,0.2309417040358744,0.0995515695067264,0.0,0.1251121076233184,0.0,0.0,0.0
